id,title,question_text,choices,question_name,question_type,points_possible,answers
9174558,Question 132,Which of the following programming languages is NOT typically associated with OOP?,Java; C++; Python; Assembly; questions_205628020325.csv,,,,
9174559,Question 133,Polymorphism allows methods to perform different actions based on the object it is acting upon.,TRUE; FALSE; questions_205628020325.csv,,,,
9174560,Question 134,Which of the following best describes abstraction in OOP?,Hiding unnecessary details; Combining data and methods; Creating new classes; Overriding methods; questions_205628020325.csv,,,,
9174561,Question 135,What does encapsulation bundle together?,Data and methods; Classes and objects; Functions and variables; Modules and packages; questions_205628020325.csv,,,,
9174562,Question 136,Which principle of OOP promotes code reuse?,Encapsulation; Inheritance; Polymorphism; Abstraction; questions_205628020325.csv,,,,
9174563,Question 137,Abstraction simplifies complex systems by exposing only the necessary parts of an object.,TRUE; FALSE; questions_205628020325.csv,,,,
9174564,Question 138,Which of the following concepts allows for method overriding?,Encapsulation; Inheritance; Abstraction; Data hiding; questions_205628020325.csv,,,,
9174565,Question 139,Which of the following statements about OOP is true?,It is only used in Java.; It is a programming paradigm.; It does not support code reuse.; It is outdated.; questions_205628020325.csv,,,,
9174566,Question 140,Which of the following is an example of polymorphism?,A class inheriting from another class; A method that can take different forms; Bundling data and methods; Hiding implementation details; questions_205628020325.csv,,,,
9174567,Question 141,Encapsulation may prevent unintended interference with data.,TRUE; FALSE; questions_205628020325.csv,,,,
9174568,Question 142,Inheritance establishes a hierarchical relationship between classes.,TRUE; FALSE; questions_205628020325.csv,,,,
9174569,Question 143,Which of the following is a benefit of using OOP?,Increased complexity; Easier maintenance; Less modularity; More global variables; questions_205628020325.csv,,,,
9174570,Question 144,Which principle of OOP focuses on exposing only necessary parts of an object?,Encapsulation; Inheritance; Polymorphism; Abstraction; questions_205628020325.csv,,,,
9174571,Question 145,Which of the following statements about encapsulation is true?,It allows unrestricted access to data.; It combines data and methods into a single unit.; It is not important in OOP.; It only applies to methods.; questions_205628020325.csv,,,,
9174572,Question 146,Which of the following concepts allows for creating new classes with minimal code duplication?,Encapsulation; Inheritance; Polymorphism; Abstraction; questions_205628020325.csv,,,,
9174573,Question 147,OOP promotes a structured approach to software development.,TRUE; FALSE; questions_205628020325.csv,,,,
9174574,Question 148,Which of the following is an example of encapsulation?,A class that inherits from another class; A method that can take different forms; A class that contains both data and methods; A function that hides its implementation; questions_205628020325.csv,,,,
9174575,Question 149,Which of the following best describes the relationship between OOP principles?,They are independent of each other.; They collectively enhance software flexibility.; They are only applicable in certain languages.; They complicate software design.; questions_205628020325.csv,,,,
9174576,Question 150,Which of the following is NOT a benefit of OOP?,Modularity; Reusability; Flexibility; Increased complexity; questions_205628020325.csv,,,,
9174577,Question 151,Which principle of OOP allows for dynamic method resolution?,Encapsulation; Inheritance; Polymorphism; Abstraction; questions_205628020325.csv,,,,
9174578,Question 152,Which of the following statements about inheritance is true?,It allows a class to inherit properties from multiple classes.; It promotes code duplication.; It establishes a hierarchical relationship.; It is not used in OOP.; questions_205628020325.csv,,,,
9174579,Question 153,Which of the following is a characteristic of OOP?,Focus on functions; Use of global variables; Modular design; Sequential processing; questions_205628020325.csv,,,,
9174580,Question 154,Which of the following concepts is essential for creating maintainable code?,Encapsulation; Global variables; Procedural programming; Static typing; questions_205628020325.csv,,,,
9174581,Question 155,Which of the following is an example of abstraction?,A class that hides its implementation details; A method that can take different forms; A class that inherits from another class; A function that combines data and methods; questions_205628020325.csv,,,,
9174582,Question 156,Which of the following statements about OOP is false?,It is a programming paradigm.; It is only used in web development.; It allows for code reuse.; It promotes modularity.; questions_205628020325.csv,,,,
